,time,ground_force1_pt1y,ground_force1_pt1x,ground_force2_pt1y,ground_force2_pt1x,ground_force1_pt2x,ground_force1_pt2y,ground_force1_pt2z,ground_force2_pt2x,ground_force2_pt2y,ground_force2_pt2z
97,0.097,0.341466,-1.097642,0.352139,-0.745682,35.906953813068746,3.092595371417227,457.1906232936166,-40.822260453462455,2.530154801390168,429.2373150655079
98,0.098,0.341971,-1.096145,0.352185,-0.745532,35.89384451661724,3.0968190559196365,457.1224794314321,-40.797391853977594,2.571785091400918,429.070391197332
99,0.099,0.341481,-1.097978,0.351406,-0.744937,35.87763609876355,3.1006432844302005,457.05120834840494,-40.77182483478666,2.6122072511645777,428.9011690994278
100,0.1,0.341637,-1.097624,0.351546,-0.744813,35.86384627418108,3.1057282155674892,456.9768109987131,-40.74648154340378,2.653155450935917,428.7296936878234
101,0.101,0.341402,-1.097104,0.352039,-0.745176,35.85045455067408,3.1110558914866306,456.89928975878126,-40.72138418663214,2.6940540156685038,428.55601064672334
102,0.102,0.341226,-1.096861,0.351183,-0.745344,35.837018228051676,3.117095218080479,456.81864843745,-40.69585702486058,2.7331914309815186,428.3801663724467
103,0.103,0.341226,-1.0973,0.352202,-0.745542,35.8231323971863,3.1239819450390707,456.7348922856327,-40.67013136628351,2.7737823490530347,428.2022079163049
104,0.104,0.341492,-1.09617,0.351163,-0.744893,35.811047939260895,3.1318246457862595,456.6480280054376,-40.643336561048535,2.811884594432917,428.0221829264818
105,0.105,0.34127,-1.096787,0.352436,-0.745934,35.797448525208246,3.1398876973123464,456.5580637587336,-40.618015995336094,2.851859169768424,427.8401395889788
106,0.106,0.341215,-1.098307,0.351042,-0.743228,35.783177615345636,3.1488442599214457,456.465009175136,-40.588739085376176,2.888718261435497,427.6561265676875
107,0.107,0.340856,-1.098337,0.35122,-0.743855,35.77062745920768,3.1582412569123473,456.3688753593872,-40.56259227140701,2.9266922450686903,427.47019294365714
108,0.108,0.341285,-1.097948,0.351628,-0.744288,35.758726095579796,3.1691883542118124,456.2696748981104,-40.53605501158094,2.964430690982741,427.2823881536212
109,0.109,0.341226,-1.098487,0.350852,-0.744102,35.746125352734346,3.18042693997947,456.167421865908,-40.508708775822626,3.0005113694789616,427.09276192785126
110,0.11,0.341127,-1.097979,0.351294,-0.745793,35.734798848871385,3.1924221042037773,456.06213183078273,-40.4830560396448,3.037328256029805,426.901364227408
111,0.111,0.3414,-1.098196,0.350914,-0.743929,35.72297299276559,3.205602618308772,455.9538218588548,-40.45367127792705,3.072833536335255,426.7082451808587
112,0.112,0.341564,-1.097064,0.351904,-0.744688,35.71271998462014,3.2195039147915945,455.842510518351,-40.42673895866292,3.1092116112448833,426.5134550205357
113,0.113,0.341382,-1.096953,0.351036,-0.744247,35.701667817128346,3.233905066910987,455.7282178828443,-40.39844253668114,3.143227101539684,426.31704401840807
114,0.114,0.341732,-1.096462,0.350784,-0.745264,35.69121527674285,3.249699768447262,455.61096553371857,-40.37144644734647,3.177346852568005,426.1190624216441
115,0.115,0.341566,-1.096209,0.350805,-0.745735,35.680741945152356,3.2658553135544808,455.49077656183545,-40.343753100246765,3.211220938730131,425.9195603879404
116,0.116,0.341596,-1.096509,0.350506,-0.743609,35.669930200965176,3.2830985767257794,455.3676755683802,-40.3133178728719,3.2442496678063026,425.7185879206944
117,0.117,0.341503,-1.096943,0.350801,-0.744177,35.65919622159899,3.3011249928929125,455.2416886648603,-40.285438104291536,3.27734058512332,425.51619480409977
118,0.118,0.341108,-1.097538,0.350572,-0.744055,35.64850998537602,3.3197695376810996,455.11284347223113,-40.256736088838245,3.3093694775552156,425.31243053824375
119,0.119,0.340711,-1.098472,0.350341,-0.744837,35.63769027382248,3.3393457078402315,454.98116911912007,-40.228812069803254,3.340852377353947,425.1073442742842
120,0.12,0.3411,-1.097388,0.350526,-0.745109,35.62909067417118,3.360654501873544,454.8466962391221,-40.20025823315209,3.3722015658065123,424.9009847497868
121,0.121,0.341245,-1.096331,0.350844,-0.745459,35.620662582065926,3.382678400884875,454.7094569671366,-40.171668701267414,3.4031285767153943,424.6934002243042
122,0.122,0.340856,-1.097495,0.350504,-0.744267,35.610208204466176,3.405139349665744,454.56948493471657,-40.14142952672695,3.4328371996996485,424.4846384152771
123,0.123,0.341341,-1.097393,0.350458,-0.744312,35.601210562750424,3.429456738043454,454.4268152644028,-40.112325686123924,3.4622744833143004,424.2747464343395
124,0.124,0.34081,-1.099072,0.350241,-0.744597,35.59061849601635,3.453751382511398,454.2814845630117,-40.083366073937945,3.490970737985951,424.0637707241112
125,0.125,0.340992,-1.098139,0.350604,-0.744086,35.58282066457568,3.4797625081625805,454.133530913849,-40.05352049646433,3.519672538762698,423.8517569955586
126,0.126,0.341183,-1.098007,0.350291,-0.745287,35.5743995536413,3.5067957309473106,453.98299386782,-40.02530266580946,3.547119727876621,423.6387501660061
127,0.127,0.340939,-1.097579,0.3504,-0.744635,35.56644747720377,3.5344160402760076,453.8299144334073,-39.99515319396042,3.574406417117226,423.42479429788136
128,0.128,0.341263,-1.097589,0.349934,-0.743492,35.55822558209409,3.5636347819881657,453.6743350654895,-39.96443958693629,3.60053199001436,423.20993253827714
129,0.129,0.341553,-1.097104,0.350013,-0.745061,35.550661852229,3.5938576417086887,453.51629965297406,-39.93637023902899,3.6266131038293343,422.9942070594111
130,0.13,0.340853,-1.096139,0.350644,-0.745791,35.54373611303546,3.624135628613008,453.35585350521984,-39.90739942714081,3.652653691353224,422.7776590000653
131,0.131,0.341217,-1.096304,0.350034,-0.744867,35.53583303605012,3.6565290596226117,453.1930433372241,-39.876717305225895,3.6768579625116478,422.5603284080886
132,0.132,0.34143,-1.096511,0.350738,-0.74541,35.52803514369066,3.6898285440526837,453.02791725355263,-39.84744989884283,3.701778405775726,422.3422541840397
133,0.133,0.341205,-1.09759,0.349729,-0.744823,35.51950681419494,3.7237519687335605,452.86052473098914,-39.817005099825494,3.724385789379208,422.12347402605405
134,0.134,0.341313,-1.096806,0.350731,-0.745266,35.51297728672458,3.7590744836274093,452.6909165998823,-39.78754766107915,3.748402162342141,421.904024376012
135,0.135,0.34132,-1.096106,0.350123,-0.744325,35.50649366662868,3.795365487961276,452.5191450241679,-39.75666819150897,3.7702048553016496,421.68394036708594
136,0.136,0.341146,-1.096713,0.349594,-0.744571,35.498826930863466,3.832547616897194,452.34526348004346,-39.7269421510879,3.7914814811506843,421.4632557727443
137,0.137,0.340804,-1.096077,0.350329,-0.745076,35.49252093356313,3.8706357287597504,452.1693267332745,-39.6974458460707,3.8134159354857466,421.2420029572857
138,0.138,0.340943,-1.097647,0.349746,-0.74562,35.484120411756976,3.9102798928410865,451.9913908151142,-39.66796342436105,3.8334253968647793,421.020212827978
139,0.139,0.340784,-1.097873,0.35006,-0.744824,35.47716899122799,3.9507013778028863,451.8115129968157,-39.637119871038244,3.8537243268765247,420.79791478887336
140,0.14,0.340165,-1.098991,0.349498,-0.743887,35.46942419250766,3.991737640694423,451.629751762721,-39.60611800405028,3.872539470022789,420.5751366963718
141,0.141,0.340698,-1.097881,0.35038,-0.745416,35.46399943700183,4.034999316605215,451.44616678191255,-39.57756847007974,3.8921908534151943,420.3519048166025
